word,early_avg_pm,y2010_2025_pm,delta_pm,pre_1950,1950_1970,1970_1990,1990_2010,2010_2025
মার্কিন,25.02,411.96,386.94,8.996,26.268,39.789,40.57,411.959
পরিস্থিতি,37.15,423.55,386.4,7.497,38.074,65.877,113.169,423.553
ভালো,1579.62,1959.4,379.77,1416.351,1471.025,1851.489,2212.271,1959.396
হাসপাতাল,76.02,455.62,379.61,56.974,89.43,81.642,128.258,455.622
সরকার,113.28,490.4,377.12,45.229,157.61,137.008,113.453,490.404
দেশের,595.26,971.43,376.18,760.651,534.516,490.602,526.128,971.434
গোল,221.24,597.22,375.97,142.685,265.044,255.999,248.544,597.217
উপজেল,0.0,374.71,374.71,0.0,0.0,0.0,0.285,374.71
নেতা,117.1,490.65,373.55,46.978,184.764,119.554,155.732,490.651
জেলা,35.69,409.0,373.31,29.237,47.814,30.029,24.627,408.999
ভেতরে,495.42,866.1,370.68,153.43,526.547,806.285,916.738,866.101
দায়িত্ব,139.06,509.64,370.59,68.219,149.641,199.319,282.708,509.645
দেয়া,115.14,481.77,366.63,9.995,102.122,233.289,521.573,481.77
শিক্ষার্থী,9.42,370.52,361.09,24.489,2.656,1.126,3.274,370.516
বাচ্চা,259.72,618.43,358.71,46.978,301.643,430.544,662.785,618.432
দেখল,464.17,819.48,355.3,64.72,545.732,782.073,881.293,819.478
সামাজিক,98.27,449.7,351.43,107.451,131.046,56.305,182.351,449.701
নারী,235.26,584.64,349.38,285.119,214.574,206.076,969.408,584.636
পেছনে,312.82,660.62,347.8,72.217,324.96,541.277,582.784,660.615
হাসান,39.67,383.84,344.16,74.966,9.15,34.909,456.661,383.837
প্রার্থী,9.55,351.77,342.22,10.995,8.264,9.384,7.972,351.769
বিএনপির,0.0,341.41,341.41,0.0,0.0,0.0,1.708,341.408
ঘটনায়,17.21,357.2,339.99,20.99,12.987,17.642,17.367,357.196
নির্বাচন,31.99,370.76,338.77,25.238,40.14,30.592,35.588,370.763
জুন,25.85,363.86,338.0,14.743,37.484,25.337,18.506,363.856
ভোট,26.35,364.1,337.75,6.497,34.828,37.724,40.001,364.103
সাবেক,13.22,349.55,336.32,19.741,10.921,9.009,7.26,349.548
পাশাপাশি,122.97,458.58,335.62,56.224,140.196,172.48,154.735,458.582
প্রতিষ্ঠান,40.36,373.97,333.61,26.988,66.704,27.402,56.94,373.97
বুঝ,1531.1,1864.42,333.33,629.961,1807.791,2155.535,2112.768,1864.423
জিজ্ঞেস,659.19,991.17,331.98,148.182,785.688,1043.703,1579.95,991.169
হোস,179.74,509.89,330.15,269.626,178.565,91.026,84.699,509.892
নিচে,233.41,563.17,329.76,89.209,195.684,415.342,537.231,563.175
খাত,41.8,371.5,329.71,24.489,45.158,55.742,49.965,371.503
চাপ,504.29,832.3,328.02,182.416,596.792,733.651,744.351,832.305
ফুটবল,33.76,360.4,326.64,12.744,31.286,57.243,87.688,360.402
পারুল,26.3,349.55,323.25,13.244,31.876,33.783,105.339,349.548
লাবনী,0.0,322.66,322.66,0.0,0.0,0.0,185.768,322.66
থানা,91.82,413.69,321.87,58.473,128.39,88.586,139.361,413.686
পরিবার,90.13,410.73,320.6,86.46,66.999,116.926,173.81,410.726
অবস্থান,41.29,360.9,319.61,50.227,21.841,51.8,82.706,360.896
প্রেসিডেন্ট,31.9,349.8,317.89,14.243,40.731,40.727,53.666,349.795
জরুরি,69.11,383.59,314.48,20.74,53.717,132.879,187.191,383.591
নিল,592.92,904.34,311.41,132.439,723.116,923.211,935.386,904.336
চুক্তি,17.98,328.09,310.11,11.995,18.299,23.648,37.011,328.087
চাইল,109.22,416.89,307.68,18.242,110.091,199.319,228.757,416.893
মোবাইল,6.75,312.55,305.8,6.747,3.542,9.947,74.022,312.546
পাশে,904.88,1208.74,303.86,455.791,1044.534,1214.307,1092.968,1208.742
মামলা,76.73,380.38,303.65,55.225,96.514,78.451,83.133,380.384
মাথা,2066.43,2369.88,303.44,1394.86,2019.413,2785.022,3298.691,2369.875
আন্তর্জাতিক,17.23,319.95,302.72,10.995,15.348,25.337,25.054,319.947
সরাসরি,56.15,358.43,302.27,8.496,46.043,113.923,151.319,358.429
ইউনিয়ন,26.05,325.13,299.08,7.497,36.303,34.346,34.876,325.127
লাশ,71.49,369.04,297.54,27.238,57.554,129.689,149.611,369.036
আলী,92.09,389.51,297.43,68.968,154.363,52.926,149.041,389.511
মেজর,48.95,345.85,296.9,16.742,43.387,86.709,263.633,345.848
সরকারি,74.21,369.78,295.57,23.989,95.038,103.601,130.393,369.776
দাম,242.79,538.01,295.23,159.927,240.547,327.882,308.331,538.014
ঘোষণা,105.46,398.88,293.43,85.461,123.373,107.542,123.703,398.885
আলো,882.13,1174.95,292.82,666.944,993.178,986.272,908.909,1174.947
ম্যাচে,2.21,294.29,292.08,0.75,1.181,4.692,8.541,294.292
ঢুক,650.88,938.38,287.5,221.648,609.779,1121.216,1148.912,938.379
বিকেল,206.59,493.86,287.27,59.473,224.904,335.389,323.563,493.857
খারাপ,533.16,819.23,286.07,224.897,520.053,854.519,1235.604,819.231
আট,376.55,662.34,285.8,223.148,406.126,500.362,511.323,662.341
খান,179.6,460.56,280.96,80.463,292.788,165.536,228.188,460.555
জানিয়েছেন,18.08,295.77,277.69,5.497,25.088,23.648,28.897,295.772
বিশাল,201.4,478.56,277.16,108.2,133.408,362.603,432.746,478.563
আলম,56.52,333.51,277.0,10.495,81.166,77.888,50.25,333.514
তাকাল,354.05,630.03,275.98,35.984,447.152,579.001,653.674,630.026
যোগাযোগ,109.9,385.32,275.42,22.49,105.073,202.134,282.566,385.317
বাজেট,4.1,279.24,275.14,1.249,5.608,5.443,11.103,279.244
খুঁজে,447.48,721.3,273.82,224.897,528.023,589.511,623.923,721.298
ওপর,1551.93,1825.2,273.27,501.02,1529.465,2625.304,2174.975,1825.201
মন্ত্রণালয়,1.7,274.31,272.61,0.0,0.59,4.504,9.965,274.31
নিহত,64.12,333.51,269.39,55.724,79.395,57.243,23.915,333.514
ভিডি,2.86,270.86,268.0,0.0,0.885,7.695,41.851,270.857
রোবব,5.61,273.08,267.47,0.0,8.559,8.258,19.502,273.077
মাঝ,157.5,424.05,266.54,71.217,187.715,213.583,275.733,424.046
বিশ্বকাপে,0.0,263.95,263.95,0.0,0.0,0.0,1.139,263.95
মানে,949.68,1213.43,263.75,315.106,1047.486,1486.446,1422.795,1213.429
গলায়,1000.8,1264.49,263.69,303.861,1143.409,1555.138,1871.199,1264.492
খুন,413.79,676.16,262.37,299.613,419.998,521.758,499.081,676.156
গ্রেপ্ত,45.77,306.13,260.37,45.229,69.36,22.71,15.801,306.132
উপজেলা,0.12,260.25,260.12,0.0,0.0,0.375,0.712,260.25
বাউল,71.03,329.07,258.04,4.998,196.274,11.824,19.075,329.074
মিয়া,57.38,312.79,255.41,34.234,84.413,53.49,141.069,312.793
আবেদন,40.05,294.54,254.49,46.479,44.568,29.091,31.459,294.538
উল্লেখ,121.65,375.7,254.05,167.423,107.434,90.088,70.464,375.697
সবা,1012.66,1265.23,252.57,566.49,1061.063,1410.435,1572.69,1265.232
সোমব,16.03,267.4,251.37,8.996,13.577,25.525,24.2,267.403
আহত,87.1,337.95,250.86,96.456,72.312,92.528,146.479,337.954
কার্যক্রম,1.67,250.63,248.96,1.749,1.181,2.065,4.555,250.629
সাংবাদিক,32.8,281.71,248.91,2.999,19.775,75.636,85.98,281.711
অনু,22.87,271.35,248.48,10.995,6.198,51.425,42.42,271.35
বাসায়,165.28,412.7,247.42,224.397,137.245,134.193,393.172,412.699
পরিচালক,17.37,264.44,247.07,6.497,14.462,31.155,31.887,264.443
ছোট,961.57,1208.49,246.93,772.146,1042.763,1069.791,1304.644,1208.495
উদ্ধ,166.76,413.44,246.67,224.147,123.373,152.774,215.519,413.439
আব্দুল,3.75,250.14,246.39,1.0,6.493,3.754,9.822,250.136
মোহাম্মদ,41.6,287.88,246.28,68.718,54.012,2.065,32.741,287.878
লোকজন,188.17,433.42,245.25,133.939,149.051,281.524,338.795,433.42
সর্বোচ্চ,10.74,255.81,245.07,17.242,9.15,5.818,15.943,255.809
মূল,150.52,394.2,243.68,173.92,145.509,132.129,194.024,394.198
পরিবর্তন,163.21,406.04,242.83,161.676,176.499,151.46,156.443,406.039
সামরিক,26.44,268.39,241.95,20.491,34.237,24.586,42.136,268.39
টাকা,1873.82,2115.3,241.47,1921.369,1795.69,1904.415,1896.253,2115.299
বিপক্ষে,14.0,255.32,241.32,22.49,9.74,9.759,14.804,255.316
রান,12.41,253.59,241.18,0.0,11.511,25.713,24.2,253.589
সূত্র,63.09,303.67,240.58,68.968,64.933,55.366,84.841,303.666
বিক্রি,153.18,393.7,240.52,94.956,148.755,215.835,261.925,393.705
কমি,53.43,293.06,239.63,64.47,61.096,34.721,46.264,293.058
হেমা,1.64,239.78,238.13,1.999,0.295,2.628,1.281,239.775
এভাবে,161.07,399.13,238.07,43.73,207.49,231.976,283.562,399.132
ব্যবস্থা,507.31,744.98,237.67,347.341,544.551,630.051,720.152,744.98
মে,54.09,291.08,236.99,42.98,49.29,70.006,46.691,291.085
চেয়ারম্যান,8.52,244.22,235.69,2.749,8.559,14.264,24.484,244.215
রাহুল,6.99,242.24,235.25,0.0,17.414,3.566,5.552,242.242
আদালত,35.58,270.36,234.78,40.731,35.418,30.592,23.061,270.364
পরিকল্পনা,43.84,277.52,233.68,20.99,38.074,72.445,115.873,277.517
আরেফিন,0.2,231.14,230.94,0.0,0.59,0.0,7.26,231.141
শাষ,316.95,546.65,229.7,364.833,308.431,277.583,255.377,546.647
বৃহস্পতিব,7.9,237.56,229.65,3.998,8.264,11.449,16.797,237.555
আসা,272.18,501.01,228.83,147.682,289.542,379.307,360.005,501.011
রাজধানীর,8.55,237.06,228.51,10.495,7.084,8.07,5.409,237.061
লেখা,582.28,810.6,228.31,450.044,610.074,686.731,768.978,810.597
বর্তমানে,46.44,274.31,227.87,45.479,66.999,26.839,34.591,274.31
খালা,9.98,237.56,227.57,2.249,8.559,19.144,167.547,237.555
